d_min_m,ttc_min_s,ttc_available,d_min_depth_m,ttc_real_min_s,ttc_error_s,d_min_homography_m,homography_available,estop_count,estop_total_duration_s,delta_psi_cum_rad,jerk_rms_rad_s2,n_avoidance_episodes,t_recovery_s,cycle_ms_median,fps_hz,bag_duration_s,node,scenario,trial,success,bag_name,scenario_desc,dist_err_mean_m,dist_err_median_m,dist_err_std_m,dist_err_n_matched,dist_err_n_good_20cm,dist_err_pct_good_20cm,cpu_percent_mean,cpu_percent_max,ram_used_mb_mean,ram_used_mb_max,gpu_percent_mean,gpu_percent_max,gpu_mem_used_mb_mean,gpu_mem_used_mb_max
0.51,0.128,True,0.21300001442432404,0.1978608019626009,0.06986080196260089,,False,10,24.355,11.597030041002053,0.4348378444003861,31,0.5244905599999754,99.95178199999089,10.004824126098034,272.399829111,yolo,S1.2,1,,bag_P1_S1.2_01,Thin pole ⌀5cm,2.3687,2.4627,1.168,2201.0,42.0,1.9,,,,,,,,
0.411,1.061,True,0.20000000298023224,0.08367672889648316,0.9773232711035168,,False,9,16.265,8.506219731689136,0.40325982007716277,29,0.006935940000005303,99.98806599999455,10.0011935424379,228.892901993,yolo,S1,1,,bag_P1_S1_01,Static obstacle (generic),0.3982,0.1544,0.7826,1100.0,661.0,60.1,,,,,,,,
1.136,0.244,True,0.6680000424385071,0.27668226770233506,0.032682267702335066,,False,13,21.852,2.0935446594997504,0.301466989260301,15,1.4290099680000026,99.88452300000006,10.011561050354112,67.784279125,yolo,S2.2,1,,bag_P1_S2.2_01,Frontal approaching pedestrian ~0.5 m/s,1.8048,1.2597,1.6376,647.0,64.0,9.9,,,,,,,,
0.15,1.768,True,0.8940000534057617,1.0177713768428158,0.7502286231571842,,False,14,56.079,37.0194289783803,0.39992869583033985,22,,100.03943499999934,9.996058054506271,242.135599478,yolo,S3.1,1,,bag_P1_S3.1_01,Low illumination <50 lux,1.0618,1.0479,0.4749,1682.0,53.0,3.2,,,,,,,,
0.11,2.459,True,1.3660000562667847,0.42720920165837656,2.0317907983416235,,False,6,16.378,31.663703266349923,0.5242170076944089,8,1.9630457380000053,99.89994850000272,10.010015170327868,127.98460349,yolo,S3.2,1,,bag_P1_S3.2_01,AprilTags on ground visible,1.4556,1.2878,0.6957,972.0,25.0,2.6,,,,,,,,
0.13,0.574,True,0.4520000219345093,0.38172444330851374,0.19227555669148622,,False,13,20.452,16.121492952316522,0.2579609572768496,31,0.594248446999984,100.04694099999867,9.995308102423774,203.0999882,yolo,S4.1,1,,bag_P1_S4.1_01,High forward speed vx≈0.8 m/s,1.2882,1.1073,0.9846,1347.0,145.0,10.8,,,,,,,,
1.28,48.923,True,1.0150001049041748,1.171876256831528,47.75112374316847,,False,11,25.421,,,0,,100.02775799999597,9.997224970293148,138.711182474,yolo,S4.2,1,,bag_P1_S4.2_01,"Pure rotation, clear path ahead",2.4894,2.2288,1.6417,432.0,5.0,1.2,,,,,,,,
0.97,0.714,True,0.4100000262260437,0.25044274586228604,0.4635572541377139,,False,8,12.962,30.065743772743954,0.4190475721383123,42,0.5088522929999897,99.93664200000296,10.00633981678082,161.090934104,yolo,S5.1,2,,bag_P1_S5.1_02,Non-COCO object (door/partition),2.0245,1.3151,1.7011,491.0,25.0,5.1,50.2,95.5,7321.4,7436.9,24.5,33.0,828.2,845.0
0.99,0.996,True,0.7850000262260437,0.5452186766400503,0.4507813233599497,,False,9,15.17,33.167365475176894,0.6888213793511105,57,,100.02153800002134,9.99784666378342,174.875901134,yolo,S5.2,1,,bag_P1_S5.2_01,Slalom 1.1m between two obstacles,2.1055,1.8437,1.5458,1708.0,70.0,4.1,75.6,100.0,7228.5,7378.0,24.5,34.0,710.7,804.0
0.334,0.335,True,0.28300002217292786,0.22822992059528996,0.10677007940471006,,False,8,17.475,8.858296323795532,0.5258231156831805,27,0.007843558000004691,99.86805600000181,10.013211832219723,102.640513433,yolo,S5.3,1,,bag_P1_S5.3_01,Appearing/disappearing obstacle (15s retention),1.5393,1.2274,1.1463,2444.0,94.0,3.8,84.0,100.0,7306.2,7357.8,23.8,37.0,662.1,672.0
0.06,13.413,True,,,,,False,24,48.995,6.985368448480424,0.22619455047821008,31,0.15497459499999877,99.92341250000281,10.00766462014067,149.794957886,farneback,S1.1,1,,bag_P2_S1.1_01,Static cone/box (measured position),,,,,,,47.1,92.5,4806.5,5102.1,6.1,34.0,411.4,426.0
0.02,15.918,True,0.242000013589859,0.15305635900855052,15.764943640991449,,False,23,31.656,32.7452897177595,0.25785762218271263,23,0.04877595100001031,99.82759150000575,10.017270626026697,151.479280973,farneback,S1.2,1,,bag_P2_S1.2_01,Thin pole ⌀5cm,0.9626,0.618,1.2592,627.0,69.0,11.0,47.9,64.8,4831.6,4980.0,5.0,21.0,392.7,408.0
0.05,,False,0.8480000495910645,0.2959082544939081,,,False,16,36.702,,,0,,99.51832400000171,10.048400734722811,112.175984841,farneback,S2.1,1,,bag_P2_S2.1_01,Crossing pedestrian ~0.8 m/s,0.7278,0.715,0.2643,206.0,6.0,2.9,50.1,75.9,5076.9,5648.3,6.0,22.0,372.0,381.0
0.01,,False,0.4130000174045563,0.6338978640415888,,,False,23,37.499,,,0,,99.9140189999963,10.008605499094546,88.274195369,farneback,S2.2,1,,bag_P2_S2.2_01,Frontal approaching pedestrian ~0.5 m/s,0.645,0.673,0.321,279.0,30.0,10.8,49.3,76.0,4913.4,5052.3,5.8,24.0,371.9,382.0
0.01,,False,0.203000009059906,0.13989660673232115,,,False,87,97.086,,,0,,99.91931499999396,10.008075015326721,245.965610059,farneback,S3.1,1,,bag_P2_S3.1_01,Low illumination <50 lux,0.753,0.7825,0.3667,452.0,28.0,6.2,51.2,68.0,4913.2,4963.5,5.1,29.0,242.4,261.0
0.05,,False,0.21900001168251038,0.14476106108289225,,,False,91,79.444,,,0,,99.7774945000005,10.022300169102712,176.839528821,farneback,S3.2,1,,bag_P2_S3.2_01,AprilTags on ground visible,0.8452,0.913,0.3874,315.0,18.0,5.7,49.7,85.4,4894.7,4966.7,5.0,23.0,293.0,348.0
0.04,,False,0.20000000298023224,0.1118692946099416,,,False,55,59.702,,,0,,99.77620849999624,10.02242934496792,204.983566086,farneback,S4.1,1,,bag_P2_S4.1_01,High forward speed vx≈0.8 m/s,0.6799,0.6085,0.4005,278.0,28.0,10.1,49.7,86.9,4998.9,5075.1,5.5,22.0,241.3,253.0
0.13,7.792,True,0.27900001406669617,0.18226093033884022,7.60973906966116,,False,1,0.39,,,0,,99.70296200000206,10.029792294435339,57.448438275,farneback,S4.2,1,,bag_P2_S4.2_01,"Pure rotation, clear path ahead",0.5452,0.3775,0.9981,112.0,30.0,26.8,,,,,,,,
0.03,10.367,True,0.2540000081062317,0.2813265799563433,10.085673420043658,,False,22,37.873,25.63408934456531,0.717736420114427,32,,99.75922999999653,10.024135110104947,154.530416163,farneback,S5.1,1,,bag_P2_S5.1_01,Non-COCO object (door/partition),0.9637,0.78,0.9645,382.0,38.0,9.9,45.1,69.0,3390.8,3459.4,4.8,21.0,224.0,236.0
0.1,24.275,True,0.6200000047683716,0.9637082038421845,23.311291796157814,,False,44,73.155,31.90823007261101,0.28620057946303595,113,,99.77242849998902,10.022809056914056,235.441493053,farneback,S5.2,1,,bag_P2_S5.2_01,Slalom 1.1m between two obstacles,0.8697,0.54,1.2592,945.0,155.0,16.4,45.4,74.7,3437.7,3688.5,4.8,34.0,230.1,243.0
0.11,15.243,True,0.6430000066757202,0.35317216799503426,14.889827832004967,,False,21,39.074,25.767402568628263,0.26631966496194187,22,0.0038633169999968686,99.65046400000688,10.035076203959582,163.890052222,farneback,S5.3,1,,bag_P2_S5.3_01,Appearing/disappearing obstacle (15s retention),0.9896,0.576,1.291,359.0,42.0,11.7,45.4,65.8,3405.4,3543.8,4.8,26.0,210.5,241.0
,3.49,True,0.20000000298023224,0.10785382411902064,3.3821461758809797,,False,14,27.594,3.9346195842591123,0.1746042206024652,21,0.4283262650000097,,,156.464228597,raft,S1.1,1,,bag_P3_S1.1_01,Static cone/box (measured position),,,,,,,54.7,79.6,4110.0,4247.3,64.1,77.0,659.2,673.0
