node,range_bin,points_count,mean_error_m,median_error_m,std_error_m,good_20cm_count,pct_good_20cm
YOLO,0.0-1.0m,423,11.8748,0.377,31.1684,97,22.9
YOLO,1.0-1.5m,741,6.0197,0.7157,21.2317,142,19.2
YOLO,1.5-2.0m,921,12.4961,0.9934,178.0016,201,21.8
YOLO,2.0-2.5m,578,3.0,1.1197,6.0007,38,6.6
YOLO,2.5-3.0m,519,4.2207,1.4754,10.2578,32,6.2
YOLO,3.0-5.0m,2611,4.5228,1.6848,48.6679,89,3.4
YOLO,>5.0m,7109,8.3218,4.8659,34.2875,102,1.4
FARNEBACK,0.0-1.0m,226,1.1198,0.5625,1.4372,43,19.0
FARNEBACK,1.0-1.5m,2199,0.8899,0.585,1.1883,291,13.2
FARNEBACK,1.5-2.0m,0,,,,0,0.0
FARNEBACK,2.0-2.5m,0,,,,0,0.0
FARNEBACK,2.5-3.0m,0,,,,0,0.0
FARNEBACK,3.0-5.0m,0,,,,0,0.0
FARNEBACK,>5.0m,0,,,,0,0.0
