Trial_Name,Node,Scenario,Duration_s,Active_Avoidance_Time_s,Mean_Linear_Vel_mps,Max_Linear_Vel_mps,Mean_Abs_Yaw_Rate_radps,Max_Yaw_Rate_radps,Left_Turn_Frames,Right_Turn_Frames,Straight_Frames,Left_Dodge_Pct,Right_Dodge_Pct
bag_P1_S1.2_01_trial_01,yolo,S1.2,22.838,15.09,0.101,0.41,0.115,0.358,136,127,194,51.7,48.3
bag_P1_S1.2_01_trial_02,yolo,S1.2,64.363,52.51,-0.009,0.411,0.114,0.575,264,412,611,39.1,60.9
bag_P1_S1.2_01_trial_03,yolo,S1.2,17.362,5.7,-0.025,0.397,0.081,0.554,84,62,201,57.5,42.5
bag_P1_S1.2_01_trial_04,yolo,S1.2,8.562,0.0,-0.187,0.012,0.036,0.209,25,27,118,48.1,51.9
bag_P1_S1.2_01_trial_05,yolo,S1.2,30.0,13.2,0.009,0.409,0.11,0.5,147,158,296,48.2,51.8
bag_P1_S1_01_trial_01,yolo,S1,12.638,8.0,0.118,0.385,0.082,0.378,43,97,113,30.7,69.3
bag_P1_S1_01_trial_02,yolo,S1,40.34,17.1,-0.024,0.42,0.079,0.573,99,208,500,32.2,67.8
bag_P1_S1_01_trial_03,yolo,S1,9.4,5.7,0.093,0.303,0.083,0.273,81,23,85,77.9,22.1
bag_P1_S1_01_trial_04,yolo,S1,40.362,29.4,-0.013,0.404,0.1,0.54,205,243,359,45.8,54.2
bag_P1_S1_01_trial_05,yolo,S1,24.361,14.29,0.012,0.363,0.115,0.603,107,125,255,46.1,53.9
bag_P1_S2.2_01_trial_01,yolo,S2.2,5.161262651117273,1.1,-0.029,0.4,0.038,0.127,32,0,72,100.0,0.0
bag_P1_S2.2_01_trial_02,yolo,S2.2,4.058857036315523,2.2,0.103,0.399,0.057,0.211,26,0,55,100.0,0.0
bag_P1_S2.2_01_trial_03,yolo,S2.2,4.55995049758905,3.71,0.16,0.417,0.103,0.274,57,0,34,100.0,0.0
bag_P1_S2.2_01_trial_04,yolo,S2.2,4.660169189843749,3.71,0.195,0.416,0.124,0.483,0,41,53,0.0,100.0
bag_P1_S2.2_01_trial_05,yolo,S2.2,9.671103802578957,3.8,0.032,0.377,0.068,0.289,44,36,114,55.0,45.0
bag_P1_S3.1_01_trial_01,yolo,S3.1,10.89618317012527,0.4,0.029,0.415,0.16,0.566,51,50,117,50.5,49.5
bag_P1_S3.1_01_trial_02,yolo,S3.1,29.65190829902943,25.0,0.141,0.399,0.105,0.593,189,174,230,52.1,47.9
bag_P1_S3.1_01_trial_03,yolo,S3.1,63.05496162383972,45.8,0.063,0.413,0.205,0.607,617,362,282,63.0,37.0
bag_P1_S3.1_01_trial_04,yolo,S3.1,14.290076288688908,3.99,0.055,0.413,0.091,0.537,80,44,162,64.5,35.5
bag_P1_S3.1_01_trial_05,yolo,S3.1,31.79541974233274,23.2,0.126,0.419,0.094,0.56,314,18,303,94.6,5.4
bag_P1_S3.2_01_trial_01,yolo,S3.2,22.09324454317349,12.92,0.077,0.414,0.121,0.555,73,137,231,34.8,65.2
bag_P1_S3.2_01_trial_02,yolo,S3.2,5.192856623395471,0.3,0.011,0.119,0.174,0.591,45,0,59,100.0,0.0
bag_P1_S3.2_01_trial_03,yolo,S3.2,14.067920670653194,0.0,-0.083,0.006,0.24,0.603,148,0,133,100.0,0.0
bag_P1_S3.2_01_trial_04,yolo,S3.2,10.38571324679097,0.39,0.052,0.417,0.147,0.602,13,63,132,17.1,82.9
bag_P1_S4.1_01_trial_01,yolo,S4.1,14.083923801140095,12.2,0.145,0.793,0.162,0.925,0,122,159,0.0,100.0
bag_P1_S4.1_01_trial_02,yolo,S4.1,14.683239707571587,13.71,0.079,0.98,0.105,0.863,60,8,226,88.2,11.8
bag_P1_S4.1_01_trial_03,yolo,S4.1,11.387002222198376,10.19,0.16,0.496,0.199,0.545,64,122,42,34.4,65.6
bag_P1_S4.1_01_trial_04,yolo,S4.1,16.33135845025822,15.85,0.139,0.72,0.177,0.589,140,64,124,68.6,31.4
bag_P1_S4.1_01_trial_05,yolo,S4.1,17.82964821633692,13.1,0.04,0.589,0.178,0.592,176,96,84,64.7,35.3
bag_P1_S4.1_01_trial_06,yolo,S4.1,25.021439093514857,14.71,-0.001,0.589,0.2,0.835,184,194,123,48.7,51.3
bag_P1_S4.2_01_trial_01,yolo,S4.2,4.400132045251162,0.0,0.0,0.009,0.523,0.987,68,0,20,100.0,0.0
bag_P1_S4.2_01_trial_02,yolo,S4.2,5.116434200301789,0.0,-0.0,0.008,0.563,0.993,0,84,19,0.0,100.0
bag_P1_S4.2_01_trial_03,yolo,S4.2,3.376846572199181,0.0,-0.0,0.008,0.308,0.835,0,44,24,0.0,100.0
bag_P1_S4.2_01_trial_04,yolo,S4.2,3.274517888193145,0.0,-0.0,0.007,0.456,0.959,54,0,12,100.0,0.0
bag_P1_S4.2_01_trial_05,yolo,S4.2,4.4001334122595495,0.0,-0.0,0.01,0.594,1.002,76,0,12,100.0,0.0
bag_P1_S4.2_01_trial_06,yolo,S4.2,8.390952088494942,0.0,-0.012,0.006,0.347,0.987,0,110,57,0.0,100.0
bag_P1_S4.2_01_trial_07,yolo,S4.2,6.037392356356108,0.0,0.0,0.008,0.422,0.95,96,0,26,100.0,0.0
