d_min_m,ttc_min_s,ttc_available,d_min_depth_m,ttc_real_min_s,ttc_error_s,d_min_homography_m,homography_available,estop_count,estop_total_duration_s,delta_psi_cum_rad,jerk_rms_rad_s2,n_avoidance_episodes,t_recovery_s,cycle_ms_median,fps_hz,bag_duration_s,node,scenario,trial,success,_trial_number,_trial_t_start,_trial_t_end,_trial_duration,_trial_duration_active,trial_duration_s,t_start,t_end,t_start_raw,t_end_raw,duration,duration_active,bag_name,parent_bag,trial_id,scenario_desc,dist_err_mean_m,dist_err_median_m,dist_err_std_m,dist_err_n_matched,dist_err_n_good_20cm,dist_err_pct_good_20cm,manual,cpu_percent_mean,cpu_percent_max,ram_used_mb_mean,ram_used_mb_max,gpu_percent_mean,gpu_percent_max,gpu_mem_used_mb_mean,gpu_mem_used_mb_max
3.1,1.559,True,1.340000033378601,0.1978608019626009,0.06986080196260089,,False,1,24.355,2.2641,0.3672,5,0.5244905599999754,99.95178199999089,10.004824126098034,272.399829111,yolo,S1.2,1,,1,34.1,56.938,22.838,18.838,22.8,34.1,56.938,36.1,54.938,22.838,18.838,bag_P1_S1.2_01_trial_01,bag_P1_S1.2_01,trial_01,Thin pole ⌀5cm,1.9962,1.823,0.4305,179.0,0.0,0.0,,,,,,,,,
0.6,1.078,True,0.4240000247955322,0.1978608019626009,0.06986080196260089,,False,3,24.355,6.7879,0.4848,14,0.5244905599999754,99.95178199999089,10.004824126098034,272.399829111,yolo,S1.2,2,,2,65.238,129.601,64.363,60.363,64.3,65.238,129.601,67.238,127.601,64.363,60.363,bag_P1_S1.2_01_trial_02,bag_P1_S1.2_01,trial_02,Thin pole ⌀5cm,1.3598,1.171,0.784,556.0,0.0,0.0,,,,,,,,,
0.66,0.128,True,0.213000014424324,0.1978608019626009,0.06986080196260089,,False,3,24.355,0.7612,0.6124,4,0.5244905599999754,99.95178199999089,10.004824126098034,272.399829111,yolo,S1.2,3,,3,136.538,153.9,17.362,13.362,17.3,136.538,153.9,138.538,151.9,17.362,13.362,bag_P1_S1.2_01_trial_03,bag_P1_S1.2_01,trial_03,Thin pole ⌀5cm,1.3504,0.7845,1.0353,174.0,11.0,6.3,,,,,,,,,
0.75,,True,1.2650001049041748,0.1978608019626009,0.06986080196260089,,False,1,24.355,11.597030041002053,0.4348378444003861,31,0.5244905599999754,99.95178199999089,10.004824126098034,272.399829111,yolo,S1.2,4,,4,155.038,163.6,8.562,4.562,8.438,155.038,163.6,157.038,161.6,8.562,4.562,bag_P1_S1.2_01_trial_04,bag_P1_S1.2_01,trial_04,Thin pole ⌀5cm,0.5697,0.536,0.2738,86.0,11.0,12.8,,,,,,,,,
0.51,1.788,True,0.2140000164508819,0.1978608019626009,0.06986080196260089,,False,3,24.355,1.6446,0.4579,4,0.5244905599999754,99.95178199999089,10.004824126098034,272.399829111,yolo,S1.2,5,,5,166.4,196.4,30.0,26.0,29.999,166.4,196.4,168.4,194.4,30.0,26.0,bag_P1_S1.2_01_trial_05,bag_P1_S1.2_01,trial_05,Thin pole ⌀5cm,1.9191,0.9095,1.4675,300.0,11.0,3.7,,,,,,,,,
0.76,1.803,True,0.7170000076293945,0.08367672889648316,0.9773232711035168,,False,1,16.265,0.7656,0.3531,4,0.006935940000005303,99.98806599999455,10.0011935424379,228.892901993,yolo,S1,1,,1,75.855,88.493,12.638,8.638,12.6,75.855,88.493,77.855,86.493,12.638,8.638,bag_P1_S1_01_trial_01,bag_P1_S1_01,trial_01,Static obstacle (generic),5.8439,8.278,3.818,96.0,29.0,30.2,,,,,,,,,
0.411,3.637,True,0.3920000195503235,0.08367672889648316,0.9773232711035168,,False,5,16.265,0.9005,0.5301,6,0.006935940000005303,99.98806599999455,10.0011935424379,228.892901993,yolo,S1,2,,2,88.755,129.095,40.34,36.34,40.3,88.755,129.095,90.755,127.095,40.34,36.34,bag_P1_S1_01_trial_02,bag_P1_S1_01,trial_02,Static obstacle (generic),0.2204,0.112,0.2273,189.0,112.0,59.3,,,,,,,,,
0.87,1.061,True,0.9610000252723694,0.08367672889648316,0.9773232711035168,,False,1,16.265,0.2733,0.394,3,0.006935940000005303,99.98806599999455,10.0011935424379,228.892901993,yolo,S1,3,,3,138.255,147.655,9.4,5.4,9.4,138.255,147.655,140.255,145.655,9.4,5.4,bag_P1_S1_01_trial_03,bag_P1_S1_01,trial_03,Static obstacle (generic),0.2754,0.155,0.2501,95.0,52.0,54.7,,,,,,,,,
0.83,1.415,True,0.8940000534057617,0.08367672889648316,0.9773232711035168,,False,1,16.265,2.7167,0.4326,10,0.006935940000005303,99.98806599999455,10.0011935424379,228.892901993,yolo,S1,4,,4,148.393,188.755,40.362,36.362,40.3,148.393,188.755,150.393,186.755,40.362,36.362,bag_P1_S1_01_trial_04,bag_P1_S1_01,trial_04,Static obstacle (generic),0.335,0.277,0.4637,357.0,129.0,36.1,,,,,,,,,
0.84,1.44,True,0.5750000476837158,0.08367672889648316,0.9773232711035168,,False,0,16.265,0.9593,0.5177,3,0.006935940000005303,99.98806599999455,10.0011935424379,228.892901993,yolo,S1,5,,5,193.993,218.355,24.361,20.361,24.3,193.993,218.355,195.993,216.355,24.361,20.361,bag_P1_S1_01_trial_05,bag_P1_S1_01,trial_05,Static obstacle (generic),0.7695,0.262,1.5791,243.0,96.0,39.5,,,,,,,,,
7.913,2.399,True,1.3820000886917114,0.27668226770233506,0.032682267702335066,,False,1,21.852,0.04,0.2366,1,1.4290099680000026,99.88452300000006,10.011561050354112,67.784279125,yolo,S2.2,1,,1,6.4322178847110205,11.593480535828293,5.161262651117273,5.161262651117273,5.136,6.4322178847110205,11.593480535828293,6.4322178847110205,11.593480535828293,5.161262651117273,5.161262651117273,bag_P1_S2.2_01_trial_01,bag_P1_S2.2_01,trial_01,Frontal approaching pedestrian ~0.5 m/s,8.2012,8.3275,0.4435,50.0,0.0,0.0,True,,,,,,,,
3.048,1.338,True,1.3730000257492063,0.27668226770233506,0.032682267702335066,,False,1,21.852,0.1534,0.1808,1,1.4290099680000026,99.88452300000006,10.011561050354112,67.784279125,yolo,S2.2,2,,2,20.162178723605507,24.22103575992103,4.058857036315523,4.058857036315523,4.0,20.162178723605507,24.22103575992103,20.162178723605507,24.22103575992103,4.058857036315523,4.058857036315523,bag_P1_S2.2_01_trial_02,bag_P1_S2.2_01,trial_02,Frontal approaching pedestrian ~0.5 m/s,6.2841,7.3,2.4906,39.0,0.0,0.0,True,,,,,,,,
1.489,0.387,True,1.0950000286102295,0.27668226770233506,0.032682267702335066,,False,1,21.852,0.4082,0.2623,2,1.4290099680000026,99.88452300000006,10.011561050354112,67.784279125,yolo,S2.2,3,,3,28.079455411727146,32.639405909316196,4.55995049758905,4.55995049758905,4.5,28.079455411727146,32.639405909316196,28.079455411727146,32.639405909316196,4.55995049758905,4.55995049758905,bag_P1_S2.2_01_trial_03,bag_P1_S2.2_01,trial_03,Frontal approaching pedestrian ~0.5 m/s,3.7686,3.4165,2.3241,28.0,0.0,0.0,True,,,,,,,,
1.41,0.244,True,1.1610000133514404,0.27668226770233506,0.032682267702335066,,False,1,21.852,0.3241,0.3978,2,1.4290099680000026,99.88452300000006,10.011561050354112,67.784279125,yolo,S2.2,4,,4,36.848590984013775,41.508760173857524,4.660169189843749,4.660169189843749,4.636,36.848590984013775,41.508760173857524,36.848590984013775,41.508760173857524,4.660169189843749,4.660169189843749,bag_P1_S2.2_01_trial_04,bag_P1_S2.2_01,trial_04,Frontal approaching pedestrian ~0.5 m/s,3.7768,3.568,2.2948,25.0,0.0,0.0,True,,,,,,,,
1.162,1.217,True,0.7140000462532043,0.27668226770233506,0.032682267702335066,,False,5,21.852,0.2948,0.4147,2,1.4290099680000026,99.88452300000006,10.011561050354112,67.784279125,yolo,S2.2,5,,5,50.47833313065357,60.14943693323252,9.671103802578955,9.671103802578955,9.664,50.47833313065357,60.14943693323252,50.47833313065357,60.14943693323252,9.671103802578955,9.671103802578955,bag_P1_S2.2_01_trial_05,bag_P1_S2.2_01,trial_05,Frontal approaching pedestrian ~0.5 m/s,2.6275,1.187,2.6828,61.0,0.0,0.0,True,,,,,,,,
13.51,,True,1.3790000677108765,1.0177713768428158,0.7502286231571842,,False,1,56.079,0.0,0.0,1,,100.03943499999934,9.996058054506271,242.135599478,yolo,S3.1,1,,1,36.03291452362069,46.92909769374596,10.89618317012527,10.89618317012527,10.864,36.03291452362069,46.92909769374596,36.03291452362069,46.92909769374596,10.89618317012527,10.89618317012527,bag_P1_S3.1_01_trial_01,bag_P1_S3.1_01,trial_01,Low illumination <50 lux,,,,,,,True,,,,,,,,
1.63,1.892,True,1.3820000886917114,1.0177713768428158,0.7502286231571842,,False,1,56.079,1.639,0.3803,6,,100.03943499999934,9.996058054506271,242.135599478,yolo,S3.1,2,,2,52.46650225561291,82.11841055464234,29.65190829902943,29.65190829902943,29.6,52.46650225561291,82.11841055464234,52.46650225561291,82.11841055464234,29.65190829902943,29.65190829902943,bag_P1_S3.1_01_trial_02,bag_P1_S3.1_01,trial_02,Low illumination <50 lux,1.5029,0.855,1.3522,268.0,0.0,0.0,True,,,,,,,,
0.18,8.385,True,0.8940000534057617,1.0177713768428158,0.7502286231571842,,False,3,56.079,9.2659,0.6226,4,,100.03943499999934,9.996058054506271,242.135599478,yolo,S3.1,3,,3,96.05123493611401,159.10619655995373,63.054961623839716,63.054961623839716,63.0,96.05123493611401,159.10619655995373,96.05123493611401,159.10619655995373,63.054961623839716,63.054961623839716,bag_P1_S3.1_01_trial_03,bag_P1_S3.1_01,trial_03,Low illumination <50 lux,1.9399,0.962,2.0393,263.0,16.0,6.1,True,,,,,,,,
0.18,,True,1.3850001096725464,1.0177713768428158,0.7502286231571842,,False,2,56.079,0.5706,0.7624,2,,100.03943499999934,9.996058054506271,242.135599478,yolo,S3.1,4,,4,183.57795220433343,197.86802849302234,14.290076288688908,14.290076288688908,14.236,183.57795220433343,197.86802849302234,183.57795220433343,197.86802849302234,14.290076288688908,14.290076288688908,bag_P1_S3.1_01_trial_04,bag_P1_S3.1_01,trial_04,Low illumination <50 lux,1.0915,1.1685,0.1789,86.0,0.0,0.0,True,,,,,,,,
0.24,1.768,True,1.0520000457763672,1.0177713768428158,0.7502286231571842,,False,4,56.079,1.1502,0.194,6,,100.03943499999934,9.996058054506271,242.135599478,yolo,S3.1,5,,5,204.83444068375817,236.62986042609091,31.79541974233274,31.79541974233274,31.7,204.83444068375817,236.62986042609091,204.83444068375817,236.62986042609091,31.79541974233274,31.79541974233274,bag_P1_S3.1_01_trial_05,bag_P1_S3.1_01,trial_05,Low illumination <50 lux,1.6985,1.6045,0.6969,220.0,0.0,0.0,True,,,,,,,,
5.86,2.459,True,1.3820000886917114,0.42720920165837656,2.0317907983416235,,False,1,16.378,1.6085,0.5614,5,1.9630457380000053,99.89994850000272,10.010015170327868,127.98460349,yolo,S3.2,1,,1,7.149404833813655,29.242649376987146,22.09324454317349,22.09324454317349,22.001,7.149404833813655,29.242649376987146,7.149404833813655,29.242649376987146,22.09324454317349,22.09324454317349,bag_P1_S3.2_01_trial_01,bag_P1_S3.2_01,trial_01,AprilTags on ground visible,5.8076,4.943,1.4747,129.0,0.0,0.0,True,,,,,,,,
5.973,5.066,True,1.3910000324249268,0.42720920165837656,2.0317907983416235,,False,0,16.378,0.0,0.0,1,1.9630457380000053,99.89994850000272,10.010015170327868,127.98460349,yolo,S3.2,2,,2,70.87991793912181,76.07277456251728,5.192856623395471,5.192856623395471,5.164,70.87991793912181,76.07277456251728,70.87991793912181,76.07277456251728,5.192856623395471,5.192856623395471,bag_P1_S3.2_01_trial_02,bag_P1_S3.2_01,trial_02,AprilTags on ground visible,4.684,4.6735,0.0953,52.0,0.0,0.0,True,,,,,,,,
0.11,,True,1.366000056266785,0.42720920165837656,2.0317907983416235,,False,4,16.378,31.663703266349923,0.5242170076944089,8,1.9630457380000053,99.89994850000272,10.010015170327868,127.98460349,yolo,S3.2,3,,3,94.67264283177019,108.74056350242338,14.067920670653194,14.067920670653194,14.0,94.67264283177019,108.74056350242338,94.67264283177019,108.74056350242338,14.067920670653194,14.067920670653194,bag_P1_S3.2_01_trial_03,bag_P1_S3.2_01,trial_03,AprilTags on ground visible,1.7049,1.241,1.3515,141.0,0.0,0.0,True,,,,,,,,
29.92,9.847,True,1.3730000257492063,0.42720920165837656,2.0317907983416235,,False,2,16.378,0.0,0.0,1,1.9630457380000053,99.89994850000272,10.010015170327868,127.98460349,yolo,S3.2,4,,4,114.1222512757605,124.50796452255148,10.38571324679097,10.38571324679097,10.335,114.1222512757605,124.50796452255148,114.1222512757605,124.50796452255148,10.38571324679097,10.38571324679097,bag_P1_S3.2_01_trial_04,bag_P1_S3.2_01,trial_04,AprilTags on ground visible,,,,,,,True,,,,,,,,
14.554,5.942,True,1.3220000267028809,0.38172444330851374,0.19227555669148622,,False,4,20.452,0.411,0.3394,4,0.594248446999984,100.04694099999867,9.995308102423774,203.0999882,yolo,S4.1,1,,1,7.899392271248743,21.98331607238884,14.083923801140095,14.083923801140095,14.0,7.899392271248743,21.98331607238884,7.899392271248743,21.98331607238884,14.083923801140095,14.083923801140095,bag_P1_S4.1_01_trial_01,bag_P1_S4.1_01,trial_01,High forward speed vx≈0.8 m/s,,,,,,,True,,,,,,,,
0.13,2.367,True,1.3690000772476196,0.38172444330851374,0.19227555669148622,,False,3,20.452,2.1137,0.2766,6,0.594248446999984,100.04694099999867,9.995308102423774,203.0999882,yolo,S4.1,2,,2,22.88228993203608,37.56552963960767,14.683239707571587,14.683239707571587,14.615,22.88228993203608,37.56552963960767,22.88228993203608,37.56552963960767,14.683239707571587,14.683239707571587,bag_P1_S4.1_01_trial_02,bag_P1_S4.1_01,trial_02,High forward speed vx≈0.8 m/s,3.0358,1.2325,3.4154,90.0,5.0,5.6,True,,,,,,,,
1.51,0.629,True,1.1370000839233398,0.38172444330851374,0.19227555669148622,,False,1,20.452,2.1111,0.3481,3,0.594248446999984,100.04694099999867,9.995308102423774,203.0999882,yolo,S4.1,3,,3,49.55184776823754,60.93884999043592,11.387002222198376,11.387002222198376,11.316,49.55184776823754,60.93884999043592,49.55184776823754,60.93884999043592,11.387002222198376,11.387002222198376,bag_P1_S4.1_01_trial_03,bag_P1_S4.1_01,trial_03,High forward speed vx≈0.8 m/s,1.2904,0.769,0.9478,114.0,12.0,10.5,True,,,,,,,,
1.78,0.606,True,1.3600000143051147,0.38172444330851374,0.19227555669148622,,False,1,20.452,2.0629,0.2011,5,0.594248446999984,100.04694099999867,9.995308102423774,203.0999882,yolo,S4.1,4,,4,69.4791016570847,85.81046010734292,16.33135845025822,16.33135845025822,16.312,69.4791016570847,85.81046010734292,69.4791016570847,85.81046010734292,16.33135845025822,16.33135845025822,bag_P1_S4.1_01_trial_04,bag_P1_S4.1_01,trial_04,High forward speed vx≈0.8 m/s,1.3806,1.373,0.6723,164.0,0.0,0.0,True,,,,,,,,
