class,Total_Detections,Mean_Confidence,Min_Distance_m,Median_Distance_m,Mean_Distance_m,Pct_Tracking_Memory
chair,32722,0.675,0.18,16.65,85.0,68.2
dining table,4071,0.564,1.26,11.18,10.17,91.8
tv,4061,0.574,10.45,29.92,27.21,84.8
refrigerator,3517,0.582,0.76,3.21,4.26,88.2
person,1730,0.843,0.33,9.4,13.25,12.4
backpack,975,0.55,1.25,1.99,3.57,82.9
airplane,700,0.549,0.11,0.47,0.47,88.7
laptop,660,0.66,0.13,1.81,1.73,95.6
couch,459,0.534,6.63,22.18,17.77,98.0
car,317,0.69,7.87,11.17,10.78,95.0
bench,315,0.602,0.41,1.44,1.46,98.4
suitcase,307,0.596,0.18,1.99,1.7,97.7
truck,304,0.555,2.61,3.44,3.32,98.7
clock,154,0.516,0.82,0.97,0.98,97.4
skateboard,79,0.635,2.35,2.36,2.36,22.8
toilet,2,0.615,13.03,22.08,22.08,0.0
bed,1,0.55,1.41,1.41,1.41,0.0
vase,1,0.73,3.23,3.23,3.23,0.0
